x,y,u,v,p,T
0.8,0,-0.00359704,0.181015,1.03006,0.825126
1,0,0.0130763,-0.879854,1.44193,0.0779112
0.799178,0.0314016,-0.026168,0.499315,1.00183,1
0.796713,0.0627171,-0.0522642,0.497261,1.05422,1
0.792613,0.0938607,-0.0782172,0.493844,1.11015,1
0.786889,0.124747,-0.103956,0.489074,1.1574,1
0.779555,0.155291,-0.12941,0.482963,1.21001,1
0.770634,0.18541,-0.154508,0.475528,1.24917,1
0.760148,0.215021,-0.179184,0.46679,1.28407,1
0.748127,0.244042,-0.203368,0.456773,1.31688,1
0.734604,0.272394,-0.226995,0.445503,1.34111,1
0.719615,0.3,-0.25,0.433013,1.35926,1
0.703202,0.326783,-0.27232,0.419335,1.37519,1
0.68541,0.352671,-0.293893,0.404508,1.38478,1
0.666288,0.377592,-0.31466,0.388573,1.38177,1
0.645887,0.401478,-0.334565,0.371572,1.37911,1
0.624264,0.424264,-0.353553,0.353553,1.36613,1
0.601478,0.445887,-0.371572,0.334565,1.34961,1
0.577592,0.466288,-0.388573,0.31466,1.3196,1
0.552671,0.48541,-0.404508,0.293893,1.28767,1
0.526783,0.503202,-0.419335,0.27232,1.25193,1
0.5,0.519615,-0.433013,0.25,1.20577,1
0.472394,0.534604,-0.445503,0.226995,1.15565,1
0.444042,0.548127,-0.456773,0.203368,1.09287,1
0.415021,0.560148,-0.46679,0.179184,1.031,1
0.38541,0.570634,-0.475528,0.154508,0.96349,1
0.355291,0.579555,-0.482963,0.12941,0.889383,1
0.324747,0.586889,-0.489074,0.103956,0.80982,1
0.293861,0.592613,-0.493844,0.0782172,0.723492,1
0.262717,0.596713,-0.497261,0.0522642,0.632703,1
0.231402,0.599178,-0.499315,0.026168,0.534026,1
0.2,0.6,-0.5,-1.43404e-15,0.434469,1
0.168598,0.599178,-0.499315,-0.026168,0.331575,1
0.137283,0.596713,-0.497261,-0.0522642,0.220921,1
0.106139,0.592613,-0.493844,-0.0782172,0.110231,1
0.075253,0.586889,-0.489074,-0.103956,0.00226631,1
0.0447086,0.579555,-0.482963,-0.12941,-0.111312,1
0.0145898,0.570634,-0.475528,-0.154508,-0.224804,1
-0.0150208,0.560148,-0.46679,-0.179184,-0.335516,1
-0.044042,0.548127,-0.456773,-0.203368,-0.445455,1
