theta,inner_cylinder,outer_cylinder
0,-6.32168,-2.68454
1,-6.38533,-2.6402
2,-6.4486,-2.59121
3,-6.51162,-2.53731
4,-6.57497,-2.48838
5,-6.63769,-2.44471
6,-6.69823,-2.40089
7,-6.75641,-2.35223
8,-6.81279,-2.29582
9,-6.86801,-2.23777
10,-6.92254,-2.18634
11,-6.97618,-2.13759
12,-7.02851,-2.08767
13,-7.07903,-2.03871
14,-7.12798,-1.99152
15,-7.17606,-1.94392
16,-7.22367,-1.89854
17,-7.26945,-1.86204
18,-7.31229,-1.82834
19,-7.35123,-1.78868
20,-7.38767,-1.74888
21,-7.42267,-1.71449
22,-7.45713,-1.6839
23,-7.49095,-1.65549
24,-7.52315,-1.62836
25,-7.55305,-1.60124
26,-7.5817,-1.57294
27,-7.6103,-1.54608
28,-7.63967,-1.52518
29,-7.66811,-1.50485
30,-7.69392,-1.48121
31,-7.71603,-1.46396
32,-7.73467,-1.45374
33,-7.75018,-1.44143
34,-7.76231,-1.42711
35,-7.77293,-1.41214
36,-7.78395,-1.39898
37,-7.7973,-1.39307
38,-7.81183,-1.38541
39,-7.82336,-1.36984
40,-7.83011,-1.35899
41,-7.83338,-1.35687
42,-7.83477,-1.35293
43,-7.83737,-1.34531
44,-7.8402,-1.3387
45,-7.84123,-1.33865
46,-7.83861,-1.3441
47,-7.83363,-1.35017
48,-7.82952,-1.35377
49,-7.82717,-1.35358
50,-7.82535,-1.35161
51,-7.82181,-1.35568
52,-7.81428,-1.36391
53,-7.80445,-1.37128
54,-7.79531,-1.37953
55,-7.78847,-1.38837
56,-7.78175,-1.39524
57,-7.77146,-1.39889
58,-7.75574,-1.40538
59,-7.73625,-1.41684
60,-7.71602,-1.42771
61,-7.69739,-1.43841
62,-7.67964,-1.45168
63,-7.66289,-1.46588
64,-7.64508,-1.47905
65,-7.62649,-1.49162
66,-7.60751,-1.50422
67,-7.58815,-1.51697
68,-7.56961,-1.5299
69,-7.55192,-1.54327
70,-7.53573,-1.5567
71,-7.52107,-1.56932
72,-7.50758,-1.5814
73,-7.4951,-1.59359
74,-7.48252,-1.60603
75,-7.46843,-1.61872
76,-7.45156,-1.63156
77,-7.43309,-1.64442
78,-7.41461,-1.65697
79,-7.39717,-1.66961
80,-7.38019,-1.683
81,-7.36315,-1.69684
82,-7.34568,-1.71053
83,-7.32666,-1.72405
84,-7.30452,-1.73733
85,-7.2784,-1.74975
86,-7.25048,-1.76164
87,-7.22366,-1.77488
88,-7.20031,-1.78896
89,-7.17816,-1.80155
90,-7.15432,-1.81354
91,-7.12614,-1.82667
92,-7.09686,-1.84063
93,-7.07015,-1.85473
94,-7.04872,-1.86839
95,-7.02983,-1.88144
96,-7.00957,-1.89442
97,-6.98467,-1.90728
98,-6.95628,-1.91984
99,-6.92605,-1.93266
100,-6.89549,-1.94621
101,-6.8648,-1.95959
102,-6.83435,-1.97227
103,-6.80427,-1.98559
104,-6.77351,-1.99951
105,-6.7405,-2.0123
106,-6.70344,-2.02406
107,-6.66478,-2.03608
108,-6.62749,-2.04826
109,-6.59407,-2.06009
110,-6.56323,-2.07204
111,-6.5319,-2.08426
112,-6.498,-2.09589
113,-6.46175,-2.10689
114,-6.42508,-2.11827
115,-6.38916,-2.13019
116,-6.35302,-2.14194
117,-6.31593,-2.15338
118,-6.27659,-2.16465
119,-6.23592,-2.17573
120,-6.19508,-2.18673
121,-6.15407,-2.1982
122,-6.11345,-2.20995
123,-6.07202,-2.22108
124,-6.02921,-2.23181
125,-5.98486,-2.2427
126,-5.9387,-2.25365
127,-5.89106,-2.26469
128,-5.84283,-2.27575
129,-5.79478,-2.28668
130,-5.74735,-2.29723
131,-5.7002,-2.30738
132,-5.65379,-2.3177
133,-5.60854,-2.32805
134,-5.56379,-2.33811
135,-5.51939,-2.34808
136,-5.47487,-2.35821
137,-5.43057,-2.36849
138,-5.38618,-2.37887
139,-5.3414,-2.38881
140,-5.29584,-2.39826
141,-5.24979,-2.40775
142,-5.20255,-2.41739
143,-5.15433,-2.42739
144,-5.10526,-2.43748
145,-5.05579,-2.44703
146,-5.00662,-2.45641
147,-4.9591,-2.46597
148,-4.91441,-2.47582
149,-4.87106,-2.48575
150,-4.82699,-2.49487
151,-4.78004,-2.50352
152,-4.73159,-2.51301
153,-4.68352,-2.52276
154,-4.63673,-2.53204
155,-4.59005,-2.54126
156,-4.54211,-2.55063
157,-4.49234,-2.56023
158,-4.44174,-2.56995
159,-4.39138,-2.57895
160,-4.34197,-2.58764
161,-4.2939,-2.59741
162,-4.24707,-2.60744
163,-4.20157,-2.61641
164,-4.15695,-2.62531
165,-4.11254,-2.63489
166,-4.06788,-2.64473
167,-4.02287,-2.65438
168,-3.97738,-2.66332
169,-3.93131,-2.67207
170,-3.88528,-2.68171
171,-3.84016,-2.69168
172,-3.79664,-2.70117
173,-3.75412,-2.71016
174,-3.71163,-2.71885
175,-3.66856,-2.72831
176,-3.62518,-2.73857
177,-3.58186,-2.74822
178,-3.53897,-2.75737
179,-3.49664,-2.76714
180,-3.45513,-2.77727
181,-3.41464,-2.78716
182,-3.37507,-2.79703
183,-3.33604,-2.80708
184,-3.29722,-2.81694
185,-3.25864,-2.82657
186,-3.22048,-2.83633
187,-3.18289,-2.84635
188,-3.14588,-2.85664
189,-3.10936,-2.86694
190,-3.07329,-2.87695
191,-3.03743,-2.88687
192,-3.00158,-2.89687
193,-2.96566,-2.90673
194,-2.93004,-2.9165
195,-2.89513,-2.92655
